"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"Connecticut","9","2010-2011","Non-Special Education","Total Cohort Count","Number",39972
"Connecticut","9","2011-2012","Non-Special Education","Total Cohort Count","Number",37931
"Connecticut","9","2012-2013","Non-Special Education","Total Cohort Count","Number",37870
"Connecticut","9","2013-2014","Non-Special Education","Total Cohort Count","Number",37410
"Connecticut","9","2014-2015","Non-Special Education","Total Cohort Count","Number",36336
"Connecticut","9","2015-2016","Non-Special Education","Total Cohort Count","Number",36242
"Connecticut","9","2016-2017","Non-Special Education","Total Cohort Count","Number",35902
"Connecticut","9","2010-2011","Non-Special Education","Four Year Graduation Count","Number",34142
"Connecticut","9","2013-2014","Non-Special Education","Four Year Graduation Count","Number",33791
"Connecticut","9","2012-2013","Non-Special Education","Four Year Graduation Count","Number",33549
"Connecticut","9","2011-2012","Non-Special Education","Four Year Graduation Count","Number",33394
"Connecticut","9","2015-2016","Non-Special Education","Four Year Graduation Count","Number",33076
"Connecticut","9","2014-2015","Non-Special Education","Four Year Graduation Count","Number",32994
"Connecticut","9","2016-2017","Non-Special Education","Four Year Graduation Count","Number",32956
"Connecticut","9","2016-2017","Special Education","Total Cohort Count","Number",6606
"Connecticut","9","2015-2016","Special Education","Total Cohort Count","Number",6336
"Connecticut","9","2014-2015","Special Education","Total Cohort Count","Number",6056
"Connecticut","9","2011-2012","Special Education","Total Cohort Count","Number",5952
"Connecticut","9","2013-2014","Special Education","Total Cohort Count","Number",5640
"Connecticut","9","2012-2013","Special Education","Total Cohort Count","Number",5626
"Connecticut","9","2010-2011","Special Education","Total Cohort Count","Number",5249
"Connecticut","9","2016-2017","Special Education","Four Year Graduation Count","Number",4408
"Connecticut","9","2015-2016","Special Education","Four Year Graduation Count","Number",4132
"Connecticut","9","2010-2011","Non-Special Education","Other Count","Number",4077
"Connecticut","9","2014-2015","Special Education","Four Year Graduation Count","Number",3971
"Connecticut","9","2011-2012","Special Education","Four Year Graduation Count","Number",3834
"Connecticut","9","2013-2014","Special Education","Four Year Graduation Count","Number",3675
"Connecticut","9","2012-2013","Special Education","Four Year Graduation Count","Number",3641
"Connecticut","9","2011-2012","Non-Special Education","Other Count","Number",3354
"Connecticut","9","2010-2011","Special Education","Four Year Graduation Count","Number",3274
"Connecticut","9","2012-2013","Non-Special Education","Other Count","Number",2987
"Connecticut","9","2014-2015","Non-Special Education","Other Count","Number",2505
"Connecticut","9","2013-2014","Non-Special Education","Other Count","Number",2465
"Connecticut Technical High School System","","2011-2012","Non-Special Education","Total Cohort Count","Number",2309
"Connecticut Technical High School System","","2012-2013","Non-Special Education","Total Cohort Count","Number",2273
"Connecticut Technical High School System","","2013-2014","Non-Special Education","Total Cohort Count","Number",2242
"Connecticut Technical High School System","","2015-2016","Non-Special Education","Total Cohort Count","Number",2242
"Connecticut Technical High School System","","2014-2015","Non-Special Education","Total Cohort Count","Number",2227
"Connecticut","9","2015-2016","Non-Special Education","Other Count","Number",2218
"Connecticut Technical High School System","","2011-2012","Non-Special Education","Four Year Graduation Count","Number",2213
"Connecticut Technical High School System","","2012-2013","Non-Special Education","Four Year Graduation Count","Number",2187
"Connecticut Technical High School System","","2016-2017","Non-Special Education","Total Cohort Count","Number",2187
