"Four-Year Graduation Rates, 2012-13"
"All Districts, Special Education Status"

"",,,"Graduates",,"Non-Graduates",,,
"District","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Non-Special Education","*","*","*","*","*","*","*"
"Amistad Academy District","Special Education","*","*","*","*","*","*","*"
"Ansonia School District","Non-Special Education",187,144,77.0,18,9.6,"*","*"
"Ansonia School District","Special Education",25,16,64.0,7,28.0,"*","*"
"Avon School District","Non-Special Education",230,224,97.4,"*","*","*","*"
"Avon School District","Special Education",33,28,84.8,"*","*","*","*"
"Berlin School District","Non-Special Education",238,231,97.1,"*","*","*","*"
"Berlin School District","Special Education",24,21,87.5,"*","*","*","*"
"Bethel School District","Non-Special Education",212,204,96.2,7,3.3,"*","*"
"Bethel School District","Special Education",22,13,59.1,7,31.8,"*","*"
"Bloomfield School District","Non-Special Education",146,132,90.4,"*","*","*","*"
"Bloomfield School District","Special Education",19,14,73.7,"*","*","*","*"
"Bolton School District","Non-Special Education",70,69,98.6,"*","*","*","*"
"Bolton School District","Special Education",11,10,90.9,"*","*","*","*"
"Branford School District","Non-Special Education",238,224,94.1,"*","*","*","*"
"Branford School District","Special Education",33,26,78.8,"*","*","*","*"
"Bridgeport School District","Non-Special Education",1049,737,70.3,98,9.3,214,20.4
"Bridgeport School District","Special Education",180,90,50.0,37,20.6,53,29.4
"Bristol School District","Non-Special Education",534,451,84.5,30,5.6,53,9.9
"Bristol School District","Special Education",101,56,55.4,24,23.8,21,20.8
"Brookfield School District","Non-Special Education",227,220,96.9,"*","*","*","*"
"Brookfield School District","Special Education",15,12,80.0,"*","*","*","*"
"Canton School District","Non-Special Education",106,104,98.1,"*","*","*","*"
"Canton School District","Special Education",18,13,72.2,"*","*","*","*"
"Capitol Region Education Council","Non-Special Education",221,191,86.4,"*","*","*","*"
"Capitol Region Education Council","Special Education",25,18,72.0,"*","*","*","*"
"Cheshire School District","Non-Special Education",326,319,97.9,"*","*","*","*"
"Cheshire School District","Special Education",58,43,74.1,"*","*","*","*"
"Clinton School District","Non-Special Education",121,112,92.6,"*","*","*","*"
"Clinton School District","Special Education",24,16,66.7,"*","*","*","*"
"Colchester School District","Non-Special Education",225,215,95.6,7,3.1,"*","*"
"Colchester School District","Special Education",28,21,75.0,6,21.4,"*","*"
"Common Ground High School District","Non-Special Education","*","*","*","*","*","*","*"
"Common Ground High School District","Special Education","*","*","*","*","*","*","*"
"Connecticut Technical High School System","Non-Special Education",2273,2187,96.2,"*","*","*","*"
"Connecticut Technical High School System","Special Education",210,205,97.6,"*","*","*","*"
"Coventry School District","Non-Special Education",119,111,93.3,"*","*","*","*"
"Coventry School District","Special Education",19,14,73.7,"*","*","*","*"
"Cromwell School District","Non-Special Education",125,119,95.2,"*","*","*","*"
"Cromwell School District","Special Education",20,14,70.0,"*","*","*","*"
"Danbury School District","Non-Special Education",695,549,79.0,69,9.9,77,11.1
"Danbury School District","Special Education",84,39,46.4,32,38.1,13,15.5
"Darien School District","Non-Special Education",277,273,98.6,"*","*","*","*"
"Darien School District","Special Education",39,34,87.2,"*","*","*","*"
