"Four-Year Graduation Rates, 2012-13"
"All Districts, Special Education Status"

"",,,"Graduates",
"District","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Non-Special Education","*","*","*"
"Amistad Academy District","Special Education","*","*","*"
"Ansonia School District","Non-Special Education",187,144,77.0
"Ansonia School District","Special Education",25,16,64.0
"Avon School District","Non-Special Education",230,224,97.4
"Avon School District","Special Education",33,28,84.8
"Berlin School District","Non-Special Education",238,231,97.1
"Berlin School District","Special Education",24,21,87.5
"Bethel School District","Non-Special Education",212,204,96.2
"Bethel School District","Special Education",22,13,59.1
"Bloomfield School District","Non-Special Education",146,132,90.4
"Bloomfield School District","Special Education",19,14,73.7
"Bolton School District","Non-Special Education",70,69,98.6
"Bolton School District","Special Education",11,10,90.9
"Branford School District","Non-Special Education",238,224,94.1
"Branford School District","Special Education",33,26,78.8
"Bridgeport School District","Non-Special Education",1049,737,70.3
"Bridgeport School District","Special Education",180,90,50.0
"Bristol School District","Non-Special Education",534,451,84.5
"Bristol School District","Special Education",101,56,55.4
"Brookfield School District","Non-Special Education",227,220,96.9
"Brookfield School District","Special Education",15,12,80.0
"Canton School District","Non-Special Education",106,104,98.1
"Canton School District","Special Education",18,13,72.2
"Capitol Region Education Council","Non-Special Education",221,191,86.4
"Capitol Region Education Council","Special Education",25,18,72.0
"Cheshire School District","Non-Special Education",326,319,97.9
"Cheshire School District","Special Education",58,43,74.1
"Clinton School District","Non-Special Education",121,112,92.6
"Clinton School District","Special Education",24,16,66.7
"Colchester School District","Non-Special Education",225,215,95.6
"Colchester School District","Special Education",28,21,75.0
"Common Ground High School District","Non-Special Education","*","*","*"
"Common Ground High School District","Special Education","*","*","*"
"Connecticut Technical High School System","Non-Special Education",2273,2187,96.2
"Connecticut Technical High School System","Special Education",210,205,97.6
"Coventry School District","Non-Special Education",119,111,93.3
"Coventry School District","Special Education",19,14,73.7
"Cromwell School District","Non-Special Education",125,119,95.2
"Cromwell School District","Special Education",20,14,70.0
"Danbury School District","Non-Special Education",695,549,79.0
"Danbury School District","Special Education",84,39,46.4
"Darien School District","Non-Special Education",277,273,98.6
"Darien School District","Special Education",39,34,87.2
"Department of Mental Health and Addiction Services","Non-Special Education","*","*","*"
"Department of Mental Health and Addiction Services","Special Education","*","*","*"
"Derby School District","Non-Special Education",80,"*","*"
"Derby School District","Special Education",11,"*","*"
"East Granby School District","Non-Special Education",62,61,98.4
"East Granby School District","Special Education",9,6,66.7
"East Haddam School District","Non-Special Education",85,83,97.6
"East Haddam School District","Special Education",15,13,86.7
"East Hampton School District","Non-Special Education",120,119,99.2
"East Hampton School District","Special Education",12,8,66.7
"East Hartford School District","Non-Special Education",468,382,81.6
"East Hartford School District","Special Education",88,50,56.8
"East Haven School District","Non-Special Education",215,167,77.7
"East Haven School District","Special Education",31,15,48.4
"East Lyme School District","Non-Special Education",262,258,98.5
"East Lyme School District","Special Education",49,35,71.4
"East Windsor School District","Non-Special Education",76,67,88.2
"East Windsor School District","Special Education",20,12,60.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-Special Education",58,48,82.8
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Special Education",11,6,54.5
"Ellington School District","Non-Special Education",179,167,93.3
"Ellington School District","Special Education",19,15,78.9
"Elm City College Preparatory School District","Non-Special Education",13,8,61.5
"Enfield School District","Non-Special Education",379,346,91.3
"Enfield School District","Special Education",66,43,65.2
"Explorations District","Non-Special Education",24,"*","*"
"Explorations District","Special Education",8,"*","*"
"Fairfield School District","Non-Special Education",627,600,95.7
"Fairfield School District","Special Education",81,56,69.1
"Farmington School District","Non-Special Education",290,284,97.9
"Farmington School District","Special Education",36,26,72.2
"Glastonbury School District","Non-Special Education",488,484,99.2
"Glastonbury School District","Special Education",64,52,81.3
"Granby School District","Non-Special Education",184,183,99.5
"Granby School District","Special Education",13,9,69.2
"Greenwich School District","Non-Special Education",594,573,96.5
"Greenwich School District","Special Education",97,82,84.5
"Griswold School District","Non-Special Education",149,135,90.6
"Griswold School District","Special Education",21,13,61.9
"Groton School District","Non-Special Education",280,242,86.4
"Groton School District","Special Education",47,27,57.4
"Guilford School District","Non-Special Education",242,233,96.3
"Guilford School District","Special Education",39,29,74.4
"Hamden School District","Non-Special Education",388,339,87.4
"Hamden School District","Special Education",67,49,73.1
"Hartford School District","Non-Special Education",1175,894,76.1
"Hartford School District","Special Education",243,115,47.3
"Killingly School District","Non-Special Education",190,151,79.5
"Killingly School District","Special Education",33,16,48.5
"Learn","Non-Special Education",36,28,77.8
"Learn","Special Education",7,7,100.0
"Lebanon School District","Non-Special Education",109,101,92.7
"Lebanon School District","Special Education",9,9,100.0
"Ledyard School District","Non-Special Education",203,187,92.1
"Ledyard School District","Special Education",29,21,72.4
